id,name,slug,generation,habitat,shape,color,capture_rate,base_happiness,gender_rate,is_baby,is_legendary,is_mythical,flavor_text_en,sourceUrl
457,lumineon,lumineon,generation-iv,,fish,blue,75,70,4,False,False,False,It lives on the deep-sea floor. It attracts prey by flashing the patterns on its four tail fins.,https://pokeapi.co/api/v2/pokemon-species/457
458,mantyke,mantyke,generation-iv,,wings,blue,25,70,4,True,False,False,A friendly Pokémon that captures the subtle flows of seawater using its two antennae.,https://pokeapi.co/api/v2/pokemon-species/458
459,snover,snover,generation-iv,,upright,white,120,70,4,False,False,False,"It lives on snowy mountains. Having had little contact with humans, it is boldly inquisitive.",https://pokeapi.co/api/v2/pokemon-species/459
460,abomasnow,abomasnow,generation-iv,,upright,white,60,70,4,False,False,False,It whips up blizzards in mountains that are always buried in snow. It is the abominable snowman.,https://pokeapi.co/api/v2/pokemon-species/460
461,weavile,weavile,generation-iv,,upright,black,45,35,4,False,False,False,"They live in cold regions, forming groups of four or five that hunt prey with impressive coordination.",https://pokeapi.co/api/v2/pokemon-species/461
462,magnezone,magnezone,generation-iv,,arms,gray,30,70,-1,False,False,False,It evolved from exposure to a special magnetic field. Three units generate magnetism.,https://pokeapi.co/api/v2/pokemon-species/462
463,lickilicky,lickilicky,generation-iv,,humanoid,pink,30,70,4,False,False,False,It wraps things with its extensible tongue. Getting too close to it will leave you soaked with drool.,https://pokeapi.co/api/v2/pokemon-species/463
464,rhyperior,rhyperior,generation-iv,,upright,gray,30,70,4,False,False,False,It puts rocks in holes in its palms and uses its muscles to shoot them. GEODUDE are shot at rare times.,https://pokeapi.co/api/v2/pokemon-species/464
465,tangrowth,tangrowth,generation-iv,,humanoid,blue,30,70,4,False,False,False,It ensnares prey by extending arms made of vines. Losing arms to predators does not trouble it.,https://pokeapi.co/api/v2/pokemon-species/465
466,electivire,electivire,generation-iv,,upright,yellow,30,70,2,False,False,False,"As its electric charge amplifies, blue sparks begin to crackle between its horns.",https://pokeapi.co/api/v2/pokemon-species/466
467,magmortar,magmortar,generation-iv,,upright,red,30,70,2,False,False,False,"It blasts fireballs of over 3,600 degrees F from the ends of its arms. It lives in volcanic craters.",https://pokeapi.co/api/v2/pokemon-species/467
468,togekiss,togekiss,generation-iv,,wings,white,30,70,1,False,False,False,It will never appear where there is strife. Its sightings have become rare recently.,https://pokeapi.co/api/v2/pokemon-species/468
469,yanmega,yanmega,generation-iv,,bug-wings,green,30,70,4,False,False,False,"By churning its wings, it creates shock waves that inflict critical internal injuries to foes.",https://pokeapi.co/api/v2/pokemon-species/469
470,leafeon,leafeon,generation-iv,,quadruped,green,45,35,1,False,False,False,"Just like a plant, it uses photosynthesis. As a result, it is always enveloped in clear air.",https://pokeapi.co/api/v2/pokemon-species/470
471,glaceon,glaceon,generation-iv,,quadruped,blue,45,35,1,False,False,False,"As a protective technique, it can completely freeze its fur to make its hairs stand like needles.",https://pokeapi.co/api/v2/pokemon-species/471
472,gliscor,gliscor,generation-iv,,wings,purple,30,70,4,False,False,False,"It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!",https://pokeapi.co/api/v2/pokemon-species/472
473,mamoswine,mamoswine,generation-iv,,quadruped,brown,50,70,4,False,False,False,Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.,https://pokeapi.co/api/v2/pokemon-species/473
474,porygon-z,porygon_z,generation-iv,,arms,red,30,70,-1,False,False,False,"Additional software was installed to make it a better Pokémon. It began acting oddly, however.",https://pokeapi.co/api/v2/pokemon-species/474
475,gallade,gallade,generation-iv,,humanoid,white,45,35,0,False,False,False,"A master of courtesy and swordsmanship, it fights using extending swords on its elbows.",https://pokeapi.co/api/v2/pokemon-species/475
476,probopass,probopass,generation-iv,,heads,gray,60,70,4,False,False,False,It freely controls three small units called Mini-Noses using magnetic force.,https://pokeapi.co/api/v2/pokemon-species/476
477,dusknoir,dusknoir,generation-iv,,arms,black,45,35,4,False,False,False,The antenna on its head captures radio waves from the world of spirits that command it to take people there.,https://pokeapi.co/api/v2/pokemon-species/477
478,froslass,froslass,generation-iv,,arms,white,75,70,8,False,False,False,It freezes foes with an icy breath nearly -60 degrees F. What seems to be its body is actually hollow.,https://pokeapi.co/api/v2/pokemon-species/478
479,rotom,rotom,generation-iv,,ball,red,45,70,-1,False,False,False,Its body is composed of plasma. It is known to infiltrate electronic devices and wreak havoc.,https://pokeapi.co/api/v2/pokemon-species/479
480,uxie,uxie,generation-iv,,upright,yellow,3,140,-1,False,True,False,Known as “The Being of Knowledge.” It is said that it can wipe out the memory of those who see its eyes.,https://pokeapi.co/api/v2/pokemon-species/480
481,mesprit,mesprit,generation-iv,,upright,pink,3,140,-1,False,True,False,"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy.",https://pokeapi.co/api/v2/pokemon-species/481
482,azelf,azelf,generation-iv,,upright,blue,3,140,-1,False,True,False,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.,https://pokeapi.co/api/v2/pokemon-species/482
483,dialga,dialga,generation-iv,,quadruped,white,3,0,-1,False,True,False,It has the power to control time. It appears in Sinnoh-region myths as an ancient deity.,https://pokeapi.co/api/v2/pokemon-species/483
484,palkia,palkia,generation-iv,,upright,purple,3,0,-1,False,True,False,It has the ability to distort space. It is described as a deity in Sinnoh-region mythology.,https://pokeapi.co/api/v2/pokemon-species/484
485,heatran,heatran,generation-iv,,quadruped,brown,3,100,4,False,True,False,It dwells in volcanic caves. It digs in with its cross-shaped feet to crawl on ceilings and walls.,https://pokeapi.co/api/v2/pokemon-species/485
486,regigigas,regigigas,generation-iv,,humanoid,white,3,0,-1,False,True,False,There is an enduring legend that states this Pokémon towed continents with ropes.,https://pokeapi.co/api/v2/pokemon-species/486
487,giratina,giratina,generation-iv,,tentacles,black,3,0,-1,False,True,False,A Pokémon that is said to live in a world on the reverse side of ours. It appears in an ancient cemetery.,https://pokeapi.co/api/v2/pokemon-species/487
488,cresselia,cresselia,generation-iv,,squiggle,yellow,3,100,8,False,True,False,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.,https://pokeapi.co/api/v2/pokemon-species/488
489,phione,phione,generation-iv,,arms,blue,30,70,-1,False,False,True,"It drifts in warm seas. It always returns to where it was born, no matter how far it may have drifted.",https://pokeapi.co/api/v2/pokemon-species/489
490,manaphy,manaphy,generation-iv,,humanoid,blue,3,70,-1,False,False,True,"Born on a cold seafloor, it will swim great distances to return to its birthplace.",https://pokeapi.co/api/v2/pokemon-species/490
491,darkrai,darkrai,generation-iv,,humanoid,black,3,0,-1,False,False,True,It can lull people to sleep and make them dream. It is active during nights of the new moon.,https://pokeapi.co/api/v2/pokemon-species/491
492,shaymin,shaymin,generation-iv,,quadruped,green,45,100,-1,False,False,True,It lives in flower patches and avoids detection by curling up to look like a flowering plant.,https://pokeapi.co/api/v2/pokemon-species/492
493,arceus,arceus,generation-iv,,quadruped,white,3,0,-1,False,False,True,"It is described in mythology as the Pokémon that shaped the universe with its 1,000 arms.",https://pokeapi.co/api/v2/pokemon-species/493
